0,1,2,3,4,5,6,7
2020-10-23T12:49:10.276892+00:00,app[web.1]:,AB_TESTING:,B,1603457342203,1603457350110,mp4,xixezideu
2020-10-23T12:49:14.293491+00:00,app[web.1]:,AB_TESTING:,B,1603457342203,1603457352731,mp2,xixezideu
2020-10-23T12:49:14.626446+00:00,app[web.1]:,AB_TESTING:,B,1603457342203,1603457354466,mp1,xixezideu
2020-10-23T12:49:15.552739+00:00,app[web.1]:,AB_TESTING:,B,1603457342203,1603457355351,mp3,xixezideu
2020-10-23T12:49:16.922046+00:00,app[web.1]:,AB_TESTING:,B,1603457342203,1603457356760,mp4,xixezideu
2020-10-23T12:49:17.885214+00:00,app[web.1]:,AB_TESTING:,B,1603457342203,1603457357718,mp4,xixezideu
2020-10-23T12:49:19.119464+00:00,app[web.1]:,AB_TESTING:,C,1603457358959,0,0,xixezideu
2020-10-23T12:49:23.420018+00:00,app[web.1]:,AB_TESTING:,B,1603457363227,0,0,xixezideu
2020-10-23T12:53:50.797990+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,0,0,gkqinuzv
2020-10-23T12:53:53.388724+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457633335,mp1,gkqinuzv
2020-10-23T12:53:53.643184+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457633587,mp1,gkqinuzv
2020-10-23T12:53:53.766814+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457633715,mp1,gkqinuzv
2020-10-23T12:53:54.144662+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457634093,mp2,gkqinuzv
2020-10-23T12:53:54.291447+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457634241,mp2,gkqinuzv
2020-10-23T12:53:54.448963+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457634399,mp2,gkqinuzv
2020-10-23T12:53:55.737227+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457635682,mp3,gkqinuzv
2020-10-23T12:53:55.892271+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457635841,mp3,gkqinuzv
2020-10-23T12:53:56.048043+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457635994,mp3,gkqinuzv
2020-10-23T12:53:56.187563+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457636136,mp3,gkqinuzv
2020-10-23T12:53:56.518382+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457636469,mp4,gkqinuzv
2020-10-23T12:53:56.684565+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457636630,mp4,gkqinuzv
2020-10-23T12:53:56.824509+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457636773,mp4,gkqinuzv
2020-10-23T12:53:56.952665+00:00,app[web.1]:,AB_TESTING:,B,1603457630729,1603457636903,mp4,gkqinuzv
2020-10-23T12:53:57.805548+00:00,app[web.1]:,AB_TESTING:,C,1603457637749,0,0,gkqinuzv
2020-10-23T12:53:59.768149+00:00,app[web.1]:,AB_TESTING:,B,1603457639714,0,0,gkqinuzv
2020-10-23T13:13:44.437970+00:00,app[web.1]:,AB_TESTING:,A,1603458822442,0,0,fouxejhph
2020-10-23T13:14:17.861680+00:00,app[web.1]:,AB_TESTING:,A,1603458822442,1603458855335,mp4,fouxejhph
2020-10-23T13:14:19.374296+00:00,app[web.1]:,AB_TESTING:,A,1603458822442,1603458857406,mp3,fouxejhph
2020-10-23T13:14:22.608470+00:00,app[web.1]:,AB_TESTING:,A,1603458822442,1603458860654,mp2,fouxejhph
2020-10-23T13:14:24.409581+00:00,app[web.1]:,AB_TESTING:,A,1603458822442,1603458862454,mp1,fouxejhph
2020-10-23T13:14:27.139862+00:00,app[web.1]:,AB_TESTING:,A,1603458822442,1603458865182,mp4,fouxejhph
2020-10-23T13:14:45.915519+00:00,app[web.1]:,AB_TESTING:,A,1603458822442,1603458883102,mp3,fouxejhph
2020-10-23T13:14:53.865620+00:00,app[web.1]:,AB_TESTING:,A,1603458822442,1603458891326,mp2,fouxejhph
2020-10-23T13:14:56.885579+00:00,app[web.1]:,AB_TESTING:,C,1603458894923,0,0,fouxejhph
